id,title,description,cat1IDs,cat2IDs,cat3IDs,cat4IDs,cat5IDs,cat6IDs,cat7IDs,cat8IDs,cat9IDs,cat10IDs,cat11IDs,cat12IDs,cat13IDs,cat14IDs,cat15IDs,cat16IDs,cat17IDs,cat18IDs
87824,Quyết định 829/QĐ-BNN-TCLN,Phê duyệt “Đề án trồng rừng thay thế khi chuyển mục đích sử dụng rừng sang mục đích khác”,16523,,,,"16523,32646",,,46755,,,,,,,,,,
85983,Quyết định 570/QĐ-TTg,Phê duyệt Kế hoạch hành động quốc gia vì trẻ em bị ảnh hưởng bởi HIV/AIDS giai đoạn 2014 – 2020,"11999,15078,19477,22843,70607",,,,"11999,15078,19477,22843,70607",,,,,,,,,,,,,
87768,Quyết định 774/QĐ-BNN-TCLN,"Phê duyệt Kế hoạch hành động nâng cao năng suất, chất lượng và giá trị rừng trồng sản xuất giai đoạn 2014 - 2020",87538,,,,"32646,87538",,,"13394,25383,26457,27060",,,,,,,,,,
62452,Quyết định 493/QĐ-TTg,"Ban hành kế hoạch triển khai thi hành Luật sửa đổi, bổ sung một số điều của Luật Phòng cháy và Chữa cháy","22843,23260,32910",,,,"22843,23260,32910",,,81499,,,,,,,,,,
34072,Quyết định 27/2014/QĐ-TTg,"Quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Tổng cục Tiêu chuẩn Đo lường Chất lượng trực thuộc Bộ Khoa học và Công nghệ","12896,15062,27308,27460,28098",,,"26781,36941","12896,15062,22843,27308,27460,28098",,,,,,,,,,,,,
86513,Quyết định 459/QĐ-TTg,"Quy định chức năng, nhiệm vụ, quyền hạn của Hội đồng quốc gia về tài nguyên nước","14414,22843,27616,32649",,,"22927,86544","14414,22843,27616,32649",,,,,,,,,,,,,
33814,Quyết định 25/2014/QĐ-TTg,"Quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Tổng cục Môi trường trực thuộc Bộ Tài nguyên và Môi trường","22843,27460,30296",,52469,23874,"22843,27460,30296",133714,,,,,,,,,,,,
33792,Quyết định 24/2014/QĐ-TTg,Về cơ chế hỗ trợ phát triển các dự án điện sinh khối tại Việt Nam,"16718,18565,19414,28068",,"94337,79455",,"16718,18565,19414,22843,28068",,,,,,,,,,,,,
33650,Quyết định 22/2014/QĐ-TTg,"Quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Tổng cục Thể dục thể thao trực thuộc Bộ Văn hóa, Thể thao và Du lịch","14833,27460,32791",,,24216,"14833,22843,27460,32791",,,,,,,,,,,,,
33651,Quyết định 23/2014/QĐ-TTg,"Quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Tổng cục Du lịch trực thuộc Bộ Văn hóa, Thể thao và Du lịch","18132,27460,32791",,,24222,"18132,22843,27460,32791",,,,,,,,,,,,,
33648,Quyết định 21/2014/QĐ-TTg,"Quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Tổng cục Quản lý đất đai trực thuộc Bộ Tài Nguyên và Môi trường","27460,30296",,,"23871,26475","22843,27460,30296",127787,,,,,,,,,,,,
32084,Quyết định 367/QĐ-TTg,Về việc phê duyệt danh mục dự án do Chính phủ Đức tài trợ,"22843,30458",,,,"22843,30458",,,,,,,,,,,,,
87595,Quyết định 467/QĐ-TTCP,"Ban hành Quy chế phối hợp cung cấp thông tin để kiểm tra, đối chiếu kết quả đăng nhập dữ liệu tài sản Nhà nước thuộc phạm vi quản lý của Thanh tra Chính phủ vào phần mềm quản lý đăng ký tài sản Nhà nước và sử dụng thông tin trong cơ sở dữ liệu quốc gia về tài sản Nhà nước","25180,26738,27339,27845,31919",,,,"25180,26738,27339,27845,31919",,,,,,,,,,,,,
33581,Quyết định 20/2014/QĐ-TTg,Về việc thành lập Khu kinh tế cửa khẩu tỉnh Cao Bằng,"11611,16718,32783",,,"22393,22393","11611,16718,22843,32783",,,"11611,16718,32783,33599",,,,,,,,,,
86901,Quyết định 357/QĐ-TTg,Phê duyệt Phương án cổ phần hóa công ty mẹ - Tổng công ty Xây dựng công trình giao thông 8,"16726,22843,26691,32633,86145",,,,"16726,22843,26691,32633,86145",,,,,,,,,,,,,
85952,Quyết định 340/QĐ-TTg,Về việc phê duyệt dự thảo Nghị định thư giữa Chính phủ Việt Nam và Chính phủ Đại công quốc Luxembourg về dự án “Sáng kiến và phát triển địa phương thích ứng biến đổi khí hậu”,22843,,,,22843,,,,,,,,,,,,,
33556,Quyết định 18/2014/QĐ-TTg,"Sửa đổi, bổ sung Điều 3 của Quyết định số 62/2004/QĐ-TTg ngày 16 tháng 4 năm 2004 về tín dụng thực hiện Chiến lược quốc gia về cấp nước sạch và vệ sinh môi trường nông thôn",22210,,,,"22210,22843",,,22210,,,,,,,36933,,,
33523,Quyết định 16/2014/QĐ-TTg,"Quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Tổng cục Địa chất và khoáng sản Việt Nam trực thuộc Bộ Tài nguyên và Môi trường","26349,27460,30296",,,26520,"22843,26349,27460,30296",,,,,,,,,,,,,
33539,Quyết định 15/2014/QĐ-TTg,"Về việc ban hành Chế độ báo cáo thống kê tổng hợp áp dụng đối với Bộ, ngành","20632,21004,25367,26971",,"93605,58578,36975",23985,"20632,21004,22843,25367,26971",134690,,"14701,17617,25367,26971",,,,,,,,,,
33458,Quyết định 11/2014/QĐ-TTg,Về tổ chức và hoạt động của Quỹ Dịch vụ viễn thông công ích Việt Nam,"23776,26317",,76794,,"22843,23776,26317,32507",,"13025,18802",,,,,,,,,,,
86477,Quyết định 201/QĐ-TTg,Về việc phê duyệt nhiệm vụ điều chỉnh quy hoạch chung xây dựng tỷ lệ 1/5.000 khu Công nghệ cao Hòa Lạc đến năm 2030,"11611,11757,18508,19414,22843,25160",,,,"11611,11757,18508,19414,22843,25160",,,12365,,,,,,,,,,
86870,Quyết định 189/QĐ-TTg,"Về việc phê duyệt danh mục dự án ""Chương trình đô thị miền núi phía Bắc"", vay vốn Ngân hàng thế giới","22843,30458",,,,"22843,30458",,,,,,,,,,,,,
33382,Quyết định 04/2014/QĐ-TTg,Về việc ban hành Quy chế phối hợp trong giải quyết tranh chấp đầu tư quốc tế,,,,,"22843,30321",141707,,,,,,,,,,,,
33383,Quyết định 03/2014/QĐ-TTg,Ban hành Quy chế quản lý nhà nước đối với hoạt động xúc tiến đầu tư,"11747,15224,16718",,,,"11747,15224,16718,22843",,,,,,,,,,,,,
33384,Quyết định 02/2014/QĐ-TTg,Về tổ chức và hoạt động của Quỹ Bảo vệ môi trường Việt Nam,"12356,16729",,,24441,"12356,16729,22843,30296",46697,,,,,,,,,,,,
32761,Quyết định 22/QĐ-TTg,Phê duyệt phương án cổ phần hóa công ty mẹ - Tổng công ty Xây dựng công trình giao thông 6,"16726,22843,26691",,,,"16726,22843,26691",,,26691,,,,,,,,,,
58806,Quyết định 2621/QĐ-TTg,"Về việc sửa đổi, bổ sung một số mức hỗ trợ phát triển sản xuất Quy định tại Nghị quyết số 30A/2008/NQ-CP ngày 27 tháng 12 năm 2008 của Chính Phủ","12462,22843",,,,"12462,22843",,,"12462,23852,36873",,,,,,,,,,
